GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bills,Paytm.app.util,ContractUtil,105,0,8,0,30,0,14,0,10,0
bills,Paytm.app.swagger,Swagger2,62,0,0,0,17,0,4,0,4,0
bills,Paytm.app.contract.student.invoke,InvokeGetStudents,14,0,0,0,5,0,3,0,3,0
bills,Paytm.app.contract.student.invoke,InvokeGetStudent,14,0,0,0,5,0,3,0,3,0
bills,Paytm.app.contract.student.invoke,InvokeIsContains,14,0,0,0,5,0,3,0,3,0
bills,Paytm.app.contract.student.invoke,InvokeChangeStudent,14,0,0,0,5,0,3,0,3,0
bills,Paytm.app.contract.student.invoke,InvokeRegisterStudent,14,0,0,0,5,0,3,0,3,0
bills,Paytm.app.contract.student.logic.entity,Student,169,0,0,0,40,0,24,0,24,0
bills,Paytm.app.contract.student.logic.entity,StudentResult,23,0,0,0,10,0,5,0,5,0
bills,Paytm.app.base.exceptions,DeployException,5,0,0,0,2,0,1,0,1,0
bills,Paytm.app.base.exceptions,WrongResponseException,5,0,0,0,2,0,1,0,1,0
bills,Paytm.app.base.exceptions,ParamErrorException,9,0,0,0,4,0,2,0,2,0
bills,Paytm.app.base.exceptions,GlobalExceptionInterceptor,79,0,0,0,13,0,9,0,9,0
bills,Paytm.app.base.exceptions,BaseException,43,0,0,0,15,0,8,0,8,0
bills,Paytm.app.base.exceptions,QueryDataException,9,0,0,0,4,0,2,0,2,0
bills,Paytm.app.base.exceptions,SignException,5,0,0,0,2,0,1,0,1,0
bills,Paytm.app.base.exceptions,InvokeException,5,0,0,0,2,0,1,0,1,0
bills,Paytm.app.contract.student.logic,StudentContract,151,0,12,0,36,0,15,0,9,0
bills,Paytm.app.repository,ContractRepository,161,0,10,0,35,0,14,0,9,0
bills,Paytm.app.base.constant,Code,254,0,0,0,29,0,8,0,8,0
bills,Paytm.app.service.impl,StudentServiceImpl,36,0,0,0,8,0,6,0,6,0
bills,Paytm.app.service.impl,ContractServiceImpl,48,0,0,0,8,0,2,0,2,0
bills,Paytm.app.filter,ApiOriginFilter,25,0,0,0,9,0,4,0,4,0
bills,Paytm.app.base.listener,StartupListener,22,0,2,0,9,0,4,0,3,0
bills,Paytm.app.base.listener,ContractInitializer,84,0,0,0,14,0,2,0,2,0
bills,Paytm.app.base.response,BasicResult,172,0,8,0,43,0,18,0,14,0
bills,Paytm.app.controller,ContractAPIController,20,0,0,0,4,0,2,0,2,0
bills,Paytm.app.controller,StudentAPIController,93,0,0,0,18,0,6,0,6,0
bills,Paytm.app.dao.impl,StudentContractDaoImpl,178,0,0,0,43,0,7,0,7,0
bills,Paytm.app,MainApplication,44,0,0,0,12,0,3,0,3,0
bills,Paytm.app.aop,UserAspect,50,0,2,0,15,0,5,0,4,0
